U,I
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,13
4.0,47
4.5,91
5.0,153
5.5,208
6.0,280
6.5,330
7.0,374
7.5,411
8.0,433
8.5,453
9.0,470
9.5,485
10.0,499
10.5,506
11.0,517
11.5,526
12.0,534
12.5,539
13.0,548
13.5,553
14.0,561
14.5,567
15.0,571
15.5,577
16.0,581
16.5,585
17.0,585
17.5,582
18.0,574
18.5,562
19.0,544
19.5,524
20.0,509
20.5,512
21.0,522
21.5,542
22.0,558
22.5,581
23.0,602
23.5,621
24.0,642
24.5,661
25.0,677
25.5,691
26.0,702
26.5,713
27.0,721
27.5,725
28.0,726
28.5,720
29.0,704
29.5,682
30.0,646
30.5,603
31.0,560
31.5,538
32.0,539
32.5,558
33.0,590
33.5,625
34.0,670
34.5,710
35.0,745
35.5,775
36.0,803
36.5,826
37.0,845
37.5,859
38.0,867
38.5,871
39.0,871
39.5,866
40.0,854
40.5,833
41.0,796
41.5,747
42.0,683
42.5,632
43.0,591
43.5,593
44.0,620
44.5,667
45.0,716
45.5,776
46.0,826
46.5,873
47.0,923
47.5,952
48.0,983
48.5,1004
49.0,1016
49.5,1025
50.0,1029
50.5,1028
51.0,1022
51.5,1007
52.0,986
52.5,949
53.0,893
53.5,836
54.0,759
54.5,717
55.0,706
55.5,722
56.0,763
56.5,813
57.0,870
57.5,933
58.0,988
58.5,1044
59.0,1089
59.5,1124
60.0,1154
60.5,1178
61.0,1195
61.5,1205
62.0,1208
62.5,1206
63.0,1197
63.5,1179
64.0,1152
64.5,1111
65.0,1064
65.5,995
66.0,947
66.5,910
67.0,899
67.5,913
68.0,943
68.5,992
69.0,1043
69.5,1102
70.0,1157
70.5,1207
71.0,1262
71.5,1308
72.0,1340
72.5,1370
73.0,1399
73.5,1417
74.0,1428
74.5,1433
75.0,1430
75.5,1419
76.0,1396
76.5,1363
77.0,1317
77.5,1270
78.0,1224
78.5,1194
79.0,1179
79.5,1181
80.0,1201
80.5,1128
81.0,1270
81.5,1319
82.0,1373
82.5,1418
83.0,1469
83.5,1520
84.0,1568
84.5,1617
85.0,1651
85.5,1689
86.0,1715
86.5,1735
87.0,1748
87.5,1752
88.0,1746
88.5,1730
89.0,1706
89.5,1678
90.0,1644
90.5,1620
91.0,1600
91.5,1593
92.0,1595
92.5,1608
93.0,1633
93.5,1662
94.0,1708
94.5,1750
95.0,1798
95.5,1852
96.0,1909
96.5,1964
97.0,2010
97.5,2060
98.0,2110
98.5,2150
99.0,2190
99.5,2220
100.0,2250
