order,S(cm),x(cm),B_+(mT),B_-(mT),B_avg(mT),B_ideal(mT),相对误差
1,5,-10,0.370,-0.358,0.364,0.355,2.5%
2,6,-9,0.430,-0.412,0.421,0.413,1.9%
3,7,-8,0.500,-0.480,0.490,0.479,2.3%
4,8,-7,0.572,-0.550,0.561,0.553,1.4%
5,9,-6,0.652,-0.632,0.642,0.634,1.3%
6,10,-5,0.741,-0.715,0.728,0.719,1.3%
7,11,-4,0.826,-0.800,0.813,0.805,1.0%
8,12,-3,0.907,-0.871,0.889,0.883,0.7%
9,13,-2,0.967,-0.934,0.950,0.948,0.2%
10,14,-1,1.005,-0.970,0.987,0.990,0.3%
11,15,0,1.018,-0.980,0.999,1.005,0.6%
12,16,1,0.989,-0.970,0.980,0.990,1.0%
13,17,2,0.950,-0.922,0.936,0.948,1.3%
14,18,3,0.889,-0.856,0.872,0.883,1.2%
15,19,4,0.810,-0.775,0.792,0.805,1.6%
16,20,5,0.725,-0.689,0.707,0.719,1.7%
17,21,6,0.643,-0.606,0.624,0.634,1.6%
18,22,7,0.564,-0.524,0.544,0.553,1.6%
19,23,8,0.492,-0.454,0.473,0.479,1.3%
20,24,9,0.428,-0.388,0.408,0.413,1.2%
21,25,10,0.373,-0.332,0.353,0.355,0.6%
