order,S(cm),x(cm),B_+(mT),B_-(mT),B_avg(mT)
1,5,-10.000,0.922,-0.868,0.895
2,6,-9.000,1.030,-0.978,1.004
3,7,-8.000,1.139,-1.085,1.112
4,8,-7.000,1.233,-1.178,1.206
5,9,-6.000,1.323,-1.266,1.294
6,10,-5.000,1.385,-1.335,1.360
7,11,-4.000,1.423,-1.380,1.401
8,12,-3.000,1.442,-1.409,1.425
9,13,-2.000,1.453,-1.420,1.437
10,14,-1.000,1.455,-1.425,1.440
11,15,0.000,1.450,-1.423,1.437
12,16,1.000,1.452,-1.427,1.440
13,17,2.000,1.449,-1.425,1.437
14,18,3.000,1.435,-1.415,1.425
15,19,4.000,1.409,-1.390,1.399
16,20,5.000,1.368,-1.347,1.357
17,21,6.000,1.301,-1.283,1.292
18,22,7.000,1.215,-1.200,1.208
19,23,8.000,1.109,-1.100,1.105
20,24,9.000,1.000,-0.997,0.998
21,25,10.000,0.873,-0.899,0.886
