order,S(cm),x(cm),B_+(mT),B_-(mT),B_avg(mT),B_ideal(mT),相对误差
1,5,-10,0.3700,-0.3580,0.3640,0.3550,2.5%
2,6,-9,0.4300,-0.4120,0.4210,0.4130,1.9%
3,7,-8,0.5000,-0.4800,0.4900,0.4790,2.3%
4,8,-7,0.5720,-0.5500,0.5610,0.5530,1.4%
5,9,-6,0.6520,-0.6320,0.6420,0.6340,1.3%
6,10,-5,0.7410,-0.7150,0.7280,0.7190,1.3%
7,11,-4,0.8260,-0.8000,0.8130,0.8050,1.0%
8,12,-3,0.9070,-0.8710,0.8890,0.8830,0.7%
9,13,-2,0.9670,-0.9340,0.9500,0.9480,0.2%
10,14,-1,1.0050,-0.9700,0.9870,0.9900,0.3%
11,15,0,1.0180,-0.9800,0.9990,1.0050,0.6%
12,16,1,0.9890,-0.9700,0.9800,0.9900,1.0%
13,17,2,0.9500,-0.9220,0.9360,0.9480,1.3%
14,18,3,0.8890,-0.8560,0.8720,0.8830,1.2%
15,19,4,0.8100,-0.7750,0.7920,0.8050,1.6%
16,20,5,0.7250,-0.6890,0.7070,0.7190,1.7%
17,21,6,0.6430,-0.6060,0.6240,0.6340,1.6%
18,22,7,0.5640,-0.5240,0.5440,0.5530,1.6%
19,23,8,0.4920,-0.4540,0.4730,0.4790,1.3%
20,24,9,0.4280,-0.3880,0.4080,0.4130,1.2%
21,25,10,0.3730,-0.3320,0.3530,0.3550,0.6%
